Lon.,Lat.,Obs. DO,Sim. WR,Time
139.7633333,35.22777778,5.8,48.90686912,2014/10/01
139.7533333,35.50444444,3.4,33.91264912,2014/10/01
139.6733333,35.37,5.5,49.91900369,2014/10/01
139.7188889,35.22361111,6.2,42.23072089,2014/10/01
139.7577778,35.13944444,6.4,56.57640753,2014/10/01
139.6477778,35.39444444,5.6,38.30101676,2014/10/01
140.0733333,35.565,2.9,61.50268417,2014/10/01
139.7480556,35.46083333,3.3,47.48543234,2014/10/01
139.6583333,35.33833333,5,59.92113221,2014/10/01
139.7244445,35.23777777,5.9,39.35448876,2014/10/01
139.7216667,35.35055556,6.2,37.91253067,2014/10/01
139.7577778,35.28555556,6.4,41.73530141,2014/10/01
139.8083333,35.50444444,3.4,55.6482275,2014/10/01
139.6266667,35.32972223,4.9,63.6122428,2014/10/01
139.7955556,35.48388889,4.2,56.50282035,2014/10/01
140.0191667,35.54055555,1.5,75.94686079,2014/10/01
139.9872222,35.64111111,6.5,42.86242341,2014/10/01
139.9055556,35.55444444,4.2,63.22873478,2014/10/01
139.9466667,35.535,1.3,75.20228453,2014/10/01
139.695,35.41916667,4.6,46.80448944,2014/10/01
139.7,35.27888889,6.6,47.31307932,2014/10/01
139.7455556,35.42111111,6.1,42.10224838,2014/10/01
139.7458333,35.47916667,4.4,42.0947979,2014/10/01
139.7211111,35.49194444,5.1,24.55040431,2014/10/01
139.6852778,35.47611111,5.5,34.86666352,2014/10/01
139.6466667,35.30666667,6.2,52.18633693,2014/10/01
139.9827778,35.66666667,2.8,39.69777052,2014/10/01
139.945,35.67638889,2.2,35.08036811,2014/10/01
139.895,35.61166667,6.4,44.40223744,2014/10/01
139.9627778,35.6075,1.6,56.89178526,2014/10/01
139.6469444,35.46027778,3.9,14.13404779,2014/10/01
139.99,35.64722222,0.1,40.37041937,2014/10/01
140.0608333,35.605,5.9,60.24051658,2014/10/01
140.0516667,35.58444444,0.1,66.75123928,2014/10/01
