Lon.,Lat.,Obs. DO,Sim. WR,Time
140.0733333,35.565,2.3,49.91929475,2014/07/01
139.8438889,35.65055556,3.6,1.034096345,2014/07/01
140.0191667,35.54055555,1,62.42970883,2014/07/01
139.9055556,35.55444444,0.1,75.37081149,2014/07/01
139.9466667,35.535,2.8,71.6817756,2014/07/01
139.8461111,35.61416667,3.9,33.80047662,2014/07/01
139.8438889,35.6325,2.5,13.62469325,2014/07/01
140.0858333,35.60666667,0.1,57.15709928,2014/07/01
139.895,35.61166667,5.9,48.95370299,2014/07/01
139.9627778,35.6075,0.1,57.87808591,2014/07/01
140.0786111,35.58388889,3.5,52.07676481,2014/07/01
139.8438889,35.59611111,0.1,54.51682311,2014/07/01
139.8438889,35.57805556,0.1,65.50201295,2014/07/01
139.8438889,35.56,0.1,70.6914535,2014/07/01
140.1083333,35.58444444,0.1,54.64427107,2014/07/01
139.945,35.67638889,1.3,20.66465706,2014/07/01
139.99,35.64722222,2.5,31.36808023,2014/07/01
139.8438889,35.54194444,0.1,72.35032715,2014/07/01
139.8461111,35.50861111,2.5,71.46915015,2014/07/01
140.0516667,35.58444444,6.1,56.1626122,2014/07/01
140.0608333,35.605,1.5,56.26265301,2014/07/01
139.7633333,35.22777778,6.1,51.80419635,2014/07/01
139.7533333,35.50444444,0.8,50.70939745,2014/07/01
139.6733333,35.37,5.2,37.14361636,2014/07/01
139.7244445,35.23777777,9.3,37.62653552,2014/07/01
139.7188889,35.22361111,9.2,36.7709525,2014/07/01
139.7577778,35.28555556,6.8,47.56121414,2014/07/01
139.7577778,35.13944444,6.4,36.93625487,2014/07/01
139.6477778,35.39444444,4.6,59.97386868,2014/07/01
140.0133333,35.50805556,0.8,59.76858569,2014/07/01
139.7480556,35.46083333,3.1,51.70305395,2014/07/01
139.6583333,35.33833333,4.8,47.02723063,2014/07/01
139.7,35.27888889,5,44.77257784,2014/07/01
139.7216667,35.35055556,6.2,34.86062829,2014/07/01
139.7455556,35.42111111,4.9,38.57698734,2014/07/01
139.8083333,35.50444444,2.9,67.31994975,2014/07/01
139.6266667,35.32972223,12,53.53910143,2014/07/01
139.7955556,35.48388889,3.4,66.13682065,2014/07/01
139.7772222,35.53388889,6.8,19.64593488,2014/07/01
139.9816667,35.50166667,1.7,62.41305555,2014/07/01
139.9066667,35.48833333,2.9,57.18742547,2014/07/01
139.695,35.41916667,3.8,50.2907325,2014/07/01
139.7458333,35.47916667,0.8,56.99570944,2014/07/01
139.7211111,35.49194444,0.9,38.67358782,2014/07/01
139.6852778,35.47611111,4,44.78021163,2014/07/01
139.6469444,35.46027778,2.9,18.39105022,2014/07/01
139.6466667,35.30666667,5.3,58.46151623,2014/07/01
139.7994444,35.52388889,0.7,55.29292416,2014/07/01
139.8216667,35.52388889,1.8,68.37744093,2014/07/01
139.8538889,35.35333333,2.6,41.65797682,2014/07/01
139.8783333,35.37416667,1.7,42.08765602,2014/07/01
139.8661111,35.4025,3.3,40.85839158,2014/07/01
139.8619444,35.42333334,4.1,44.24040458,2014/07/01
139.8438889,35.52388889,1.8,72.10826608,2014/07/01
139.8016667,35.35333333,4.1,39.72675387,2014/07/01
139.7994444,35.59611111,0.9,50.99707197,2014/07/01
139.8005556,35.61416667,0.1,36.52186546,2014/07/01
139.8216667,35.61444444,0.1,42.34992231,2014/07/01
139.8105556,35.63388889,0.8,28.38569034,2014/07/01
139.7633333,35.22777778,5.8,48.90686912,2014/10/01
139.7533333,35.50444444,3.4,33.91264912,2014/10/01
139.6733333,35.37,5.5,49.91900369,2014/10/01
139.7188889,35.22361111,6.2,42.23072089,2014/10/01
139.7577778,35.13944444,6.4,56.57640753,2014/10/01
139.6477778,35.39444444,5.6,38.30101676,2014/10/01
140.0733333,35.565,2.9,61.50268417,2014/10/01
139.7480556,35.46083333,3.3,47.48543234,2014/10/01
139.6583333,35.33833333,5,59.92113221,2014/10/01
139.7244445,35.23777777,5.9,39.35448876,2014/10/01
