 No       Lon.(X)        Lat.(Y)   Node(Cell)   Depth(Cell)             Station Name
  1 388650.947852 3945702.882051           68         5.151                    Tokyo
  2 413510.243747 3936460.273314          120         0.318                    Chiba
  3 376961.671688 3924254.829456          585        11.900           Yokohamashinko
  4 385756.229234 3907991.928788         1138        37.392              Daini-Kaiho
  5 377366.031863 3905821.935357         1029         3.938                 Yokosuka
  6 383595.047821 3899052.839033         1258       235.622              Kyurihamako
  7 404181.538123 3944536.076969           96        19.931                  Urayasu
  8 411543.522083 3941224.595713          101         7.876                Chibaharo
  9 407833.042171 3927889.716217          364         0.053                 Kawasaki
 10 405191.860645 3933093.762942          352         4.288                    1goto
