Node Number = 2927
Cell Number = 5294
1 1588 1522 1585 1
2 1563 1496 1499 2
3 2166 2165 2194 3
4 2063 2064 2026 4
5 1946 1945 1908 5
6 1121 1138 1120 6
7 1282 1281 1268 7
8 1026 1025 1053 8
9 67 37 66 9
10 591 581 615 10
11 2088 2089 2124 11
12 2129 2131 2164 12
13 2767 2753 2754 13
14 2738 2737 2719 14
15 717 683 685 15
16 2725 2743 2742 16
17 2256 2232 2233 17
18 2742 2743 2757 18
19 1981 1988 1955 19
20 2158 2188 2187 20
21 2227 2249 2223 21
22 2273 2274 2301 22
23 2093 2095 2092 23
24 2159 2188 2158 24
25 2114 2113 2079 25
26 2085 2086 2052 26
27 1797 1734 1733 27
28 1963 1926 1962 28
29 2018 1989 2019 29
30 2283 2284 2309 30
31 2016 1986 2017 31
32 1870 1877 1878 32
33 2106 2069 2104 33
34 2206 2180 2207 34
35 1384 1348 1385 35
36 1987 1954 1955 36
37 1931 1944 1970 37
38 1520 1521 1587 38
39 1873 1913 1874 39
40 1827 1875 1873 40
41 1474 1538 1473 41
42 671 705 704 42
43 901 899 870 43
44 1468 1529 1530 44
45 1674 1600 1667 45
46 1182 1193 1192 46
47 1899 1855 1897 47
48 1460 1519 1459 48
49 1343 1378 1342 49
50 1071 1070 1093 50
51 960 959 930 51
52 1097 1076 1077 52
53 980 966 1001 53
54 815 814 786 54
55 1076 1052 1054 55
56 614 593 627 56
57 2639 2668 2667 57
58 1072 1070 1046 58
59 577 576 611 59
60 1179 1180 1190 60
61 1291 1277 1293 61
62 2908 2903 2902 62
63 2818 2817 2805 63
64 2741 2756 2740 64
65 1232 1242 1240 65
66 2777 2764 2765 66
67 2475 2512 2511 67
68 2261 2235 2260 68
69 2529 2528 2563 69
70 2453 2414 2454 70
71 2482 2481 2441 71
72 1241 1231 1230 72
73 2107 2071 2106 73
74 2294 2266 2267 74
75 2575 2573 2543 75
76 2489 2448 2449 76
77 2703 2704 2724 77
78 2253 2227 2229 78
79 2066 2029 2031 79
80 2195 2203 2223 80
81 2150 2149 2116 81
82 2115 2116 2149 82
83 2039 2074 2073 83
84 1812 1800 1750 84
85 2102 2138 2140 85
86 1928 1920 1886 86
87 2057 2059 2093 87
88 2248 2222 2223 88
89 2128 2143 2144 89
90 2202 2175 2201 90
91 2203 2227 2223 91
92 2302 2303 2330 92
93 2244 2247 2271 93
94 2246 2245 2220 94
95 2220 2245 2238 95
96 2361 2329 2360 96
97 2430 2470 2469 97
98 2604 2570 2605 98
99 2243 2270 2269 99
100 2573 2542 2541 100
101 2268 2241 2269 101
102 1559 1491 1558 102
103 1307 1322 1302 103
104 1647 1724 1648 104
105 2023 2003 2024 105
106 2003 2002 2036 106
107 2057 2056 2023 107
108 1886 1841 1885 108
109 2160 2129 2163 109
110 2123 2155 2122 110
111 1934 1972 1969 111
112 2032 1997 2029 112
113 1718 1717 1783 113
114 1922 1930 1960 114
115 1641 1567 1642 115
116 1719 1780 1784 116
117 1356 1357 1328 117
118 1837 1784 1834 118
119 1362 1400 1401 119
120 1842 1849 1888 120
121 1248 1238 1239 121
122 1317 1297 1298 122
123 2008 2007 1973 123
124 1584 1658 1585 124
125 1317 1316 1297 125
126 1463 1464 1417 126
127 1668 1670 1740 127
128 1749 1679 1678 128
129 1677 1749 1678 129
130 1939 1975 1937 130
131 1895 1851 1850 131
132 1935 1904 1942 132
133 1819 1868 1866 133
134 1879 1877 1831 134
135 1939 1900 1902 135
136 1592 1593 1527 136
137 1774 1775 1830 137
138 1953 1917 1954 138
139 2017 2014 2046 139
140 1582 1517 1580 140
141 2017 1987 1988 141
142 1731 1670 1656 142
143 1581 1518 1516 143
144 1859 1900 1897 144
145 1792 1791 1843 145
146 1594 1595 1530 146
147 1594 1529 1531 147
148 1741 1670 1731 148
149 1606 1607 1683 149
150 1608 1577 1541 150
151 1412 1380 1373 151
152 1652 1653 1728 152
153 1817 1866 1818 153
154 1769 1767 1701 154
155 1474 1539 1538 155
156 1889 1863 1906 156
157 1475 1474 1426 157
158 1625 1624 1701 158
159 1347 1346 1321 159
160 1540 1607 1539 160
161 1515 1517 1457 161
162 1425 1426 1474 162
163 1694 1764 1763 163
164 1321 1344 1348 164
165 1321 1348 1347 165
166 1385 1426 1384 166
167 1545 1546 1621 167
168 793 768 794 168
169 1457 1517 1516 169
170 1383 1347 1384 170
171 841 867 865 171
172 911 906 879 172
173 1066 1087 1085 173
174 837 835 813 174
175 598 565 597 175
176 616 652 654 176
177 626 596 629 177
178 399 434 433 178
179 283 282 323 179
180 697 663 664 180
181 787 786 762 181
182 582 614 616 182
183 441 408 442 183
184 890 920 887 184
185 617 655 618 185
186 837 836 863 186
187 1061 1083 1079 187
188 992 1026 1023 188
189 839 814 815 189
190 1214 1204 1215 190
191 1299 1298 1283 191
192 1145 1128 1129 192
193 1072 1093 1070 193
194 1172 1171 1184 194
195 1155 1150 1141 195
196 1211 1224 1222 196
197 1139 1122 1135 197
198 1151 1134 1150 198
199 1114 1130 1131 199
200 1304 1308 1326 200
201 1206 1205 1196 201
202 1053 1071 1077 202
203 490 489 515 203
204 1147 1146 1131 204
205 550 551 518 205
206 1207 1219 1220 206
207 1263 1276 1277 207
208 857 859 890 208
209 1075 1076 1097 209
210 777 776 803 210
211 948 920 953 211
212 922 920 890 212
213 1050 1051 1075 213
214 683 717 682 214
215 832 858 854 215
216 586 587 619 216
217 557 544 527 217
218 619 620 656 218
219 604 592 624 219
220 406 440 439 220
221 399 398 434 221
222 236 185 186 222
223 119 118 160 223
224 141 138 182 224
225 312 311 272 225
226 468 438 439 226
227 830 829 856 227
228 682 645 683 228
229 403 432 437 229
230 584 617 618 230
231 609 611 576 231
232 552 555 524 232
233 201 200 252 233
234 436 437 467 234
235 374 329 330 235
236 153 150 193 236
237 108 65 109 237
238 112 145 103 238
239 197 196 192 239
240 142 143 187 240
241 2918 2922 2915 241
242 114 113 155 242
243 24 14 13 243
244 256 257 206 244
245 191 149 187 245
246 330 375 374 246
247 24 23 43 247
248 422 392 388 248
249 376 400 414 249
250 344 305 342 250
251 250 241 285 251
252 549 542 516 252
253 546 545 575 253
254 692 686 719 254
255 1221 1208 1220 255
256 486 485 512 256
257 645 646 683 257
258 518 517 550 258
259 609 576 573 259
260 428 427 459 260
261 485 488 512 261
262 2859 2871 2860 262
263 2732 2748 2746 263
264 2800 2812 2801 264
265 2769 2770 2756 265
266 2909 2908 2915 266
267 2781 2783 2770 267
268 2736 2717 2716 268
269 2733 2715 2734 269
270 2611 2578 2613 270
271 2767 2754 2768 271
272 1219 1207 1217 272
273 2896 2886 2885 273
274 2763 2775 2765 274
275 2746 2747 2731 275
276 2368 2402 2401 276
277 1223 1232 1229 277
278 1328 1329 1307 278
279 2731 2730 2746 279
280 1308 1310 1330 280
281 1359 1363 1396 281
282 1436 1435 1496 282
283 1305 1304 1326 283
284 2338 2368 2337 284
285 1327 1326 1355 285
286 1564 1638 1562 286
287 2546 2578 2545 287
288 2690 2667 2691 288
289 2548 2549 2582 289
290 2670 2672 2694 290
291 2692 2691 2667 291
292 2690 2710 2688 292
293 2323 2293 2294 293
294 2328 2321 2299 294
295 2379 2378 2346 295
296 1389 1390 1351 296
297 1787 1786 1840 297
298 2086 2085 2120 298
299 2240 2214 2217 299
300 2355 2322 2356 300
301 2467 2505 2464 301
302 2465 2464 2505 302
303 2469 2470 2509 303
304 2465 2505 2506 304
305 2467 2508 2505 305
306 2432 2472 2471 306
307 2708 2683 2684 307
308 2462 2421 2422 308
309 2505 2541 2506 309
310 2285 2287 2314 310
311 2424 2464 2465 311
312 2560 2524 2559 312
313 2568 2536 2535 313
314 2405 2406 2443 314
315 2528 2530 2563 315
316 2533 2496 2524 316
317 2686 2685 2709 317
318 2399 2398 2397 318
319 2675 2676 2701 319
320 2700 2698 2699 320
321 2703 2678 2679 321
322 2543 2544 2575 322
323 2796 2807 2806 323
324 2412 2410 2376 324
325 2658 2629 2634 325
326 2725 2704 2705 326
327 2705 2726 2725 327
328 2115 2083 2116 328
329 2308 2283 2309 329
330 2231 2205 2206 330
331 2207 2180 2181 331
332 2251 2226 2252 332
333 2232 2208 2233 333
334 2233 2257 2256 334
335 2308 2335 2333 335
336 2256 2255 2231 336
337 2229 2228 2254 337
338 2257 2283 2256 338
339 2170 2197 2199 339
340 2080 2046 2049 340
341 2082 2049 2050 341
342 2150 2180 2179 342
343 2150 2118 2151 343
344 2148 2114 2149 344
345 2082 2083 2115 345
346 2179 2178 2149 346
347 2230 2255 2252 347
348 2117 2118 2150 348
349 2150 2151 2180 349
350 2115 2149 2114 350
351 2168 2170 2136 351
352 2075 2078 2111 352
353 2146 2147 2177 353
354 1971 1973 2007 354
355 2043 2077 2042 355
356 1969 1972 2005 356
357 2147 2112 2111 357
358 2137 2170 2171 358
359 2167 2132 2134 359
360 2025 2038 2060 360
361 2073 2109 2096 361
362 2099 2098 2062 362
363 2098 2099 2135 363
364 2030 1995 2028 364
365 2038 2039 2073 365
366 2028 1993 2027 366
367 1971 1932 1935 367
368 1993 1969 2004 368
369 1799 1849 1842 369
370 1960 1930 1969 370
371 1922 1921 1882 371
372 1881 1882 1921 372
373 1994 1961 1996 373
374 2064 2028 2027 374
375 1960 1969 1993 375
376 1959 1922 1961 376
377 2069 2032 2066 377
378 1968 2002 2003 378
379 1965 1963 1998 379
380 2135 2169 2134 380
381 2064 2103 2065 381
382 2031 2068 2066 382
383 2101 2103 2139 383
384 2174 2142 2173 384
385 2064 2027 2026 385
386 2141 2105 2139 386
387 2101 2065 2103 387
388 2281 2282 2254 388
389 2248 2277 2276 389
390 2195 2176 2203 390
391 2203 2202 2229 391
392 2162 2176 2191 392
393 2202 2201 2228 393
394 2304 2305 2332 394
395 2387 2361 2393 395
396 2305 2280 2307 396
397 2307 2306 2333 397
398 2274 2271 2298 398
399 2277 2249 2278 399
400 2364 2334 2365 400
401 2633 2635 2661 401
402 2219 2191 2195 402
403 2275 2298 2271 403
404 2301 2274 2298 404
405 2245 2246 2274 405
406 2272 2264 2273 406
407 2298 2275 2302 407
408 2216 2192 2220 408
409 2272 2273 2300 409
410 2301 2327 2329 410
411 2332 2307 2334 411
412 2362 2331 2363 412
413 2431 2470 2430 413
414 2426 2393 2430 414
415 2392 2394 2431 415
416 2425 2387 2426 416
417 2353 2321 2328 417
418 2507 2469 2509 418
419 2426 2387 2393 419
420 2543 2509 2544 420
421 2471 2472 2510 421
422 2326 2325 2296 422
423 2361 2328 2329 423
424 2467 2428 2468 424
425 2420 2424 2461 425
426 2296 2297 2326 426
427 2273 2264 2245 427
428 2326 2297 2321 428
429 2269 2241 2243 429
430 2190 2218 2217 430
431 2323 2295 2324 431
432 2215 2218 2190 432
433 2269 2297 2296 433
434 2125 2159 2124 434
435 2155 2156 2122 435
436 2187 2157 2158 436
437 2240 2217 2241 437
438 2156 2184 2185 438
439 2186 2187 2214 439
440 2157 2155 2158 440
441 2157 2184 2155 441
442 2055 2056 2090 442
443 2123 2158 2155 443
444 1720 1719 1784 444
445 1881 1834 1835 445
446 1445 1444 1505 446
447 1713 1780 1719 447
