RECORDID,ZETTAICODE,PREFCODE,SUIIKICODE,CHITENCODE,NENDO,FISCALYEAR,MONTH,DAYTIME,DEPTH,DEPTH2,PH,PH2,PH3,DO_,DO_2,DO_3,BOD,BOD2,BOD3,COD,COD2,COD3,SS,SS2,SS3,COLON,COLON2,COLON3,HEX,HEX2,HEX3,ALLZN,ALLZN2,ALLZN3,BOTTOMDO,BOTTOMDO2,BOTTOMDO3,LAS,LAS2,LAS3,NONYLPHENOL,NONYLPHENOL2,NONYLPHENOL3,id_stations_water,id_stations_latitude,id_stations_longitude
1430100001,1430100,14,606,1,2014,2014,12,30913,11,0.5,8,8,0,6.9,6.9,0,,,,1.6,1.6,0,,,,490,490,0,<0.5,0,0,0.004,0.004,0,,,,<0.0006,0,0,<0.00006,0,0,東京湾（１２）,35.48388889,139.7955556
1430110001,1430110,14,606,2,2014,2014,4,90949,11,0.5,8.5,8.5,1,13,13,0,,,,4.6,4.6,1,,,,70,70,0,<0.5,0,0,0.009,0.009,0,,,,<0.0006,0,0,<0.00006,0,0,東京湾（１２）,35.46083333,139.7480556
1430110001,1430110,14,606,2,2014,2014,4,90949,13,25.9,8.1,8.1,0,6.6,6.6,0,,,,0.7,0.7,0,,,,,,,,,,0.002,0.002,0,,,,<0.0006,0,0,<0.00006,0,0,東京湾（１２）,35.46083333,139.7480556
1430110001,1430110,14,606,2,2014,2014,5,140910,11,0.5,8.3,8.3,0,9.1,9.1,0,,,,3.6,3.6,1,,,,5,5,0,<0.5,0,0,0.004,0.004,0,,,,,,,<0.00006,0,0,東京湾（１２）,35.46083333,139.7480556
1430110001,1430110,14,606,2,2014,2014,5,140910,13,24.5,8,8,0,5.4,5.4,0,,,,2,2,0,,,,,,,,,,0.005,0.005,0,,,,,,,<0.00006,0,0,東京湾（１２）,35.46083333,139.7480556
1430110001,1430110,14,606,2,2014,2014,6,40909,11,0.5,8.6,8.6,1,13,13,0,,,,3.6,3.6,1,,,,11,11,0,<0.5,0,0,0.002,0.002,0,,,,,,,<0.00006,0,0,東京湾（１２）,35.46083333,139.7480556
1430110001,1430110,14,606,2,2014,2014,6,40909,13,26.1,8.1,8.1,0,5.8,5.8,0,,,,1.5,1.5,0,,,,,,,,,,0.002,0.002,0,,,,,,,<0.00006,0,0,東京湾（１２）,35.46083333,139.7480556
1430110001,1430110,14,606,2,2014,2014,7,21022,11,0.5,9,9,1,18,18,0,,,,7.8,7.8,1,,,,11,11,0,<0.5,0,0,0.005,0.005,0,,,,<0.0006,0,0,<0.00006,0,0,東京湾（１２）,35.46083333,139.7480556
1430110001,1430110,14,606,2,2014,2014,7,21022,13,25.8,7.9,7.9,0,3.1,3.1,1,,,,1.2,1.2,0,,,,,,,,,,0.004,0.004,0,,,,<0.0006,0,0,<0.00006,0,0,東京湾（１２）,35.46083333,139.7480556
1430110001,1430110,14,606,2,2014,2014,8,81010,11,0.5,8.5,8.5,1,8.5,8.5,0,,,,4.4,4.4,1,,,,2,2,0,<0.5,0,0,0.004,0.004,0,,,,<0.0006,0,0,<0.00006,0,0,東京湾（１２）,35.46083333,139.7480556
1430110001,1430110,14,606,2,2014,2014,8,81010,13,25,7.8,7.8,0,0.1,0,1,,,,2.3,2.3,0,,,,,,,,,,0.001,0.001,0,,,,<0.0006,0,0,<0.00006,0,0,東京湾（１２）,35.46083333,139.7480556
1430110001,1430110,14,606,2,2014,2014,9,30930,11,0.5,8.8,8.8,1,15,15,0,,,,6.7,6.7,1,,,,14000,14000,0,<0.5,0,0,0.004,0.004,0,,,,<0.0006,0,0,<0.00006,0,0,東京湾（１２）,35.46083333,139.7480556
1430110001,1430110,14,606,2,2014,2014,9,30930,13,25.2,8,8,0,4.4,4.4,1,,,,1.6,1.6,0,,,,,,,,,,0.003,0.003,0,,,,<0.0006,0,0,<0.00006,0,0,東京湾（１２）,35.46083333,139.7480556
1430110001,1430110,14,606,2,2014,2014,10,11010,11,0.5,8.2,8.2,0,7.4,7.4,0,,,,3.3,3.3,1,,,,2,2,0,<0.5,0,0,0.004,0.004,0,,,,<0.0006,0,0,<0.00006,0,0,東京湾（１２）,35.46083333,139.7480556
